29.279, 3.732, 0.527, 0.248, 0.249, 15.598, 2.233, 0.695, 0.342, 0.268, 12.295, 2.73, 0.415, 0.204, 0.149, 8.548, 1.706, 0.228, 0.212, 0.195, 2.957, 1.369, 0.692, 0.72, 0.71, 3.328, 1.201, 0.497, 0.39, 0.361, 2.988, 1.049, 0.529, 0.147, 0.119, 3.711, 1.441, 0.678, 0.241, 0.18, 7.217, 2.103, 0.998, 0.483, 0.32, 7.101, 1.782, 1.183, 2.041, 1.118, 23.189, 4.794, 1.019, 0.444, 0.228, 19.044, 4.682, 0.758, 0.29, 0.275, 35.774, 7.633, 0.773, 0.43, 0.226, 24.547, 3.799, 0.881, 0.254, 0.205
27.493, 3.144, 0.578, 0.292, 0.265, 13.622, 1.899, 0.709, 0.321, 0.232, 11.899, 2.482, 0.451, 0.234, 0.15, 8.224, 1.568, 0.231, 0.2, 0.183, 2.815, 1.497, 0.612, 0.679, 0.681, 3.043, 1.215, 0.433, 0.379, 0.334, 2.846, 1.026, 0.46, 0.146, 0.106, 3.631, 1.437, 0.63, 0.235, 0.184, 6.961, 2.247, 0.982, 0.416, 0.324, 6.6, 1.857, 1.37, 1.691, 1.09, 21.075, 4.557, 1.072, 0.422, 0.218, 18.057, 4.49, 0.773, 0.313, 0.259, 31.094, 7.019, 0.836, 0.397, 0.247, 22.945, 3.461, 1.001, 0.288, 0.197
24.905, 2.519, 0.637, 0.357, 0.299, 12.949, 1.746, 0.765, 0.301, 0.209, 10.963, 2.076, 0.477, 0.257, 0.163, 8.316, 1.491, 0.249, 0.194, 0.181, 2.551, 1.562, 0.521, 0.62, 0.686, 2.498, 1.128, 0.373, 0.355, 0.317, 2.419, 0.931, 0.371, 0.146, 0.093, 3.116, 1.357, 0.544, 0.225, 0.187, 5.906, 2.323, 0.92, 0.343, 0.334, 5.436, 1.872, 1.582, 1.362, 1.109, 17.275, 4.049, 1.069, 0.383, 0.228, 15.604, 3.987, 0.767, 0.34, 0.264, 24.693, 6.017, 0.886, 0.358, 0.291, 20.572, 3.015, 1.059, 0.318, 0.213
23.451, 2.005, 0.676, 0.442, 0.35, 14.638, 1.799, 0.822, 0.295, 0.204, 10.464, 1.631, 0.48, 0.272, 0.183, 9.419, 1.466, 0.27, 0.2, 0.194, 2.467, 1.536, 0.443, 0.562, 0.72, 1.964, 0.959, 0.329, 0.323, 0.312, 1.886, 0.79, 0.299, 0.15, 0.083, 2.354, 1.213, 0.46, 0.214, 0.187, 4.413, 2.324, 0.846, 0.28, 0.343, 3.981, 1.841, 1.78, 1.116, 1.161, 13.619, 3.428, 1.015, 0.344, 0.253, 13.103, 3.345, 0.735, 0.372, 0.286, 19.164, 4.948, 0.909, 0.332, 0.35, 19.112, 2.568, 1.036, 0.347, 0.249
23.98, 1.633, 0.682, 0.533, 0.404, 17.952, 1.954, 0.847, 0.306, 0.218, 10.798, 1.238, 0.455, 0.281, 0.202, 11.222, 1.435, 0.284, 0.219, 0.218, 2.589, 1.423, 0.398, 0.527, 0.76, 1.588, 0.751, 0.304, 0.293, 0.317, 1.414, 0.649, 0.269, 0.157, 0.077, 1.598, 1.041, 0.417, 0.205, 0.182, 2.962, 2.267, 0.791, 0.238, 0.353, 2.675, 1.793, 1.897, 0.978, 1.233, 11.365, 2.832, 0.939, 0.32, 0.287, 11.58, 2.744, 0.689, 0.402, 0.311, 15.993, 4.051, 0.894, 0.331, 0.408, 19.462, 2.164, 0.942, 0.373, 0.293
26.119, 1.354, 0.652, 0.607, 0.449, 21.657, 2.062, 0.819, 0.329, 0.244, 12.002, 0.946, 0.409, 0.283, 0.218, 13.22, 1.349, 0.285, 0.248, 0.242, 2.946, 1.252, 0.405, 0.529, 0.777, 1.478, 0.552, 0.303, 0.276, 0.324, 1.125, 0.545, 0.28, 0.164, 0.075, 1.042, 0.881, 0.43, 0.197, 0.172, 1.916, 2.163, 0.757, 0.218, 0.365, 1.821, 1.728, 1.872, 0.935, 1.324, 10.947, 2.312, 0.866, 0.313, 0.317, 11.431, 2.279, 0.638, 0.42, 0.332, 15.267, 3.37, 0.833, 0.359, 0.445, 21.24, 1.79, 0.81, 0.394, 0.337
28.075, 1.091, 0.601, 0.643, 0.48, 23.74, 2.015, 0.744, 0.358, 0.273, 13.213, 0.753, 0.351, 0.28, 0.232, 14.362, 1.198, 0.281, 0.278, 0.257, 3.264, 1.067, 0.463, 0.577, 0.756, 1.513, 0.397, 0.32, 0.285, 0.331, 0.989, 0.488, 0.309, 0.164, 0.076, 0.742, 0.758, 0.482, 0.19, 0.16, 1.383, 2.018, 0.724, 0.219, 0.385, 1.462, 1.647, 1.71, 0.946, 1.432, 11.551, 1.855, 0.798, 0.318, 0.337, 11.964, 1.95, 0.587, 0.42, 0.349, 15.401, 2.835, 0.732, 0.409, 0.451, 22.9, 1.421, 0.68, 0.407, 0.377
28.399, 0.849, 0.555, 0.632, 0.498, 23.355, 1.8, 0.65, 0.388, 0.298, 13.776, 0.649, 0.3, 0.273, 0.249, 14.158, 1.041, 0.291, 0.3, 0.255, 3.418, 0.924, 0.552, 0.669, 0.7, 1.598, 0.303, 0.348, 0.321, 0.336, 0.947, 0.457, 0.33, 0.155, 0.08, 0.64, 0.674, 0.543, 0.187, 0.15, 1.254, 1.838, 0.685, 0.235, 0.414, 1.441, 1.563, 1.484, 0.975, 1.553, 12.094, 1.464, 0.74, 0.328, 0.343, 12.349, 1.714, 0.548, 0.402, 0.367, 15.045, 2.384, 0.647, 0.47, 0.426, 23.125, 1.078, 0.588, 0.412, 0.412
25.943, 0.659, 0.532, 0.588, 0.511, 20.159, 1.469, 0.569, 0.414, 0.314, 13.041, 0.618, 0.27, 0.274, 0.273, 12.375, 0.961, 0.324, 0.313, 0.238, 3.216, 0.894, 0.638, 0.796, 0.627, 1.558, 0.28, 0.376, 0.38, 0.34, 0.871, 0.429, 0.323, 0.138, 0.085, 0.601, 0.613, 0.585, 0.193, 0.145, 1.261, 1.627, 0.641, 0.267, 0.449, 1.501, 1.49, 1.293, 1.03, 1.679, 11.483, 1.162, 0.69, 0.345, 0.337, 11.643, 1.527, 0.531, 0.384, 0.394, 13.068, 2.023, 0.645, 0.531, 0.385, 20.872, 0.8, 0.539, 0.412, 0.445
21.271, 0.571, 0.549, 0.539, 0.529, 15.201, 1.123, 0.532, 0.437, 0.325, 11.303, 0.653, 0.284, 0.295, 0.303, 9.569, 1.014, 0.376, 0.316, 0.213, 2.75, 1.029, 0.711, 0.933, 0.557, 1.382, 0.335, 0.408, 0.446, 0.343, 0.751, 0.398, 0.297, 0.119, 0.091, 0.575, 0.566, 0.588, 0.211, 0.145, 1.285, 1.402, 0.609, 0.316, 0.485, 1.506, 1.434, 1.224, 1.136, 1.788, 9.675, 0.992, 0.651, 0.371, 0.329, 9.938, 1.386, 0.553, 0.392, 0.428, 9.783, 1.806, 0.78, 0.583, 0.349, 16.645, 0.632, 0.53, 0.418, 0.473
